Strain	Q677 clade	Clade	Country	Admin Division	Division of exposure	gisaid_epi_isl	Host	Originating Lab	Pango Lineage	Submission Date	Region	Region of exposure	Submitting Lab	url	Collection Data	Author
Denmark/DCGC-2934/2020	20B	Mink.Cluster5	Denmark	Nordjylland	Nordjylland	EPI_ISL_616695	Human	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Denmark	B.1.1.298	Older	Europe	Europe	Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark		2020-08-24	Danish Covid-19 Genome Consortia et al
Denmark/DCGC-3152/2020	20B	Mink.Cluster5	Denmark	Nordjylland	Nordjylland	EPI_ISL_615972	Human	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Denmark	B.1.1.298	Older	Europe	Europe	Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark		2020-08-31	Danish Covid-19 Genome Consortia et al
mink/Denmark/mDK-88/2020	20B	Mink.Cluster5	Denmark	Denmark	Denmark	EPI_ISL_641480	Mink	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.298	Older	Europe	Europe	Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark		2020-09-14	Thomas Bruun Rasmussen et al
mink/Denmark/mDK-89/2020	20B	Mink.Cluster5	Denmark	Denmark	Denmark	EPI_ISL_641481	Mink	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.298	Older	Europe	Europe	Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark		2020-09-14	Thomas Bruun Rasmussen et al
mink/Denmark/mDK-87/2020	20B	Mink.Cluster5	Denmark	Denmark	Denmark	EPI_ISL_641479	Mink	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.298	Older	Europe	Europe	Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark		2020-09-14	Thomas Bruun Rasmussen et al
Denmark/DCGC-3542/2020	20B	Mink.Cluster5	Denmark	Nordjylland	Nordjylland	EPI_ISL_616335	Human	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Denmark	B.1.1.298	Older	Europe	Europe	Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark		2020-08-31	Danish Covid-19 Genome Consortia et al
Denmark/DCGC-3024/2020	20B	Mink.Cluster5	Denmark	Nordjylland	Nordjylland	EPI_ISL_616802	Human	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Denmark	B.1.1.298	Older	Europe	Europe	Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark		2020-08-24	Danish Covid-19 Genome Consortia et al
Denmark/DCGC-4306/2020	20B	Mink.Cluster5	Denmark	Nordjylland	Nordjylland	EPI_ISL_615743	Human	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Denmark	B.1.1.298	Older	Europe	Europe	Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark		2020-09-07	Danish Covid-19 Genome Consortia et al
Denmark/DCGC-3631/2020	20B	Mink.Cluster5	Denmark	Nordjylland	Nordjylland	EPI_ISL_616402	Human	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Denmark	B.1.1.298	Older	Europe	Europe	Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark		2020-08-31	Danish Covid-19 Genome Consortia et al
Denmark/DCGC-2965/2020	20B	Mink.Cluster5	Denmark	Nordjylland	Nordjylland	EPI_ISL_616727	Human	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Denmark	B.1.1.298	Older	Europe	Europe	Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark		2020-08-24	Danish Covid-19 Genome Consortia et al
